Key,Source,Context,Changes,English,French,German,Klingon,Spanish
classtrainingcook4,,Quest Info,KgNone,Cook Class Part 4 of 5,,,,
classtrainingcook4_subtitle,,Quest Info,KgNone,Cook Class 4 of 5,,,,
classtrainingcook4_offer,,Quest Info,KgNone,"Cook Class\n\nExclusive Recipes/Perks:  Food Processing Table, Microwave, Coffee Maker, Convection Oven, Player Oven, Several Food Recipes",,,,
classtrainingcook4_description,,Quest Info,KgNone,"Cook Class\n\nExclusive Recipes/Perks:  Food Processing Table, Microwave, Coffee Maker, Convection Oven, Player Oven, Several Food Recipes",,,,
classtrainingcook5,,Quest Info,KgNone,Cook Class Part 5 of 5,,,,
classtrainingcook5_subtitle,,Quest Info,KgNone,Cook Class 5 of 5,,,,
classtrainingcook5_offer,,Quest Info,KgNone,"Cook Class\n\nExclusive Recipes/Perks:  Food Processing Table, Microwave, Coffee Maker, Convection Oven, Player Oven, Several Food Recipes",,,,
classtrainingcook5_description,,Quest Info,KgNone,"Cook Class\n\nExclusive Recipes/Perks:  Food Processing Table, Microwave, Coffee Maker, Convection Oven, Player Oven, Several Food Recipes",,,,
classtrainingmechanic1,,Quest Info,KgNone,Mechanic Class Part 1 of 5,,,,
classtrainingmechanic1_subtitle,,Quest Info,KgNone,Mechanic Class 1 of 5,,,,
classtrainingmechanic1_offer,,Quest Info,KgNone,"Mechanic Class\n\nExclusive Recipes/Perks:  ECO Minibike and HD Minibike, ECO/HD Engine and ECO/HD Battery Recipes",,,,
classtrainingmechanic1_description,,Quest Info,KgNone,"Mechanic Class\n\nExclusive Recipes/Perks:  ECO Minibike and HD Minibike, ECO/HD Engine and ECO/HD Battery Recipes",,,,
MechanicClass,,Quest Info,KgNone,Mechanic Class,,,,
classtrainingmechanic2,,Quest Info,KgNone,Mechanic Class Part 2 of 5,,,,
classtrainingmechanic2_subtitle,,Quest Info,KgNone,Mechanic Class 2 of 5,,,,
classtrainingmechanic2_offer,,Quest Info,KgNone,"Mechanic Class\n\nExclusive Recipes/Perks:  ECO Minibike and HD Minibike, ECO/HD Engine and ECO/HD Battery Recipes",,,,
classtrainingmechanic2_description,,Quest Info,KgNone,"Mechanic Class\n\nExclusive Recipes/Perks:  ECO Minibike and HD Minibike, ECO/HD Engine and ECO/HD Battery Recipes",,,,
classtrainingmechanic3,,Quest Info,KgNone,Mechanic Class Part 3 of 5,,,,
classtrainingmechanic3_subtitle,,Quest Info,KgNone,Mechanic Class 3 of 5,,,,
classtrainingmechanic3_offer,,Quest Info,KgNone,"Mechanic Class\n\nExclusive Recipes/Perks:  ECO Minibike and HD Minibike, ECO/HD Engine and ECO/HD Battery Recipes",,,,
classtrainingmechanic3_description,,Quest Info,KgNone,"Mechanic Class\n\nExclusive Recipes/Perks:  ECO Minibike and HD Minibike, ECO/HD Engine and ECO/HD Battery Recipes",,,,
classtrainingmechanic4,,Quest Info,KgNone,Mechanic Class Part 4 of 5,,,,
classtrainingmechanic4_subtitle,,Quest Info,KgNone,Mechanic Class 4 of 5,,,,
classtrainingmechanic4_offer,,Quest Info,KgNone,"Mechanic Class\n\nExclusive Recipes/Perks:  ECO Minibike and HD Minibike, ECO/HD Engine and ECO/HD Battery Recipes",,,,
classtrainingmechanic4_description,,Quest Info,KgNone,"Mechanic Class\n\nExclusive Recipes/Perks:  ECO Minibike and HD Minibike, ECO/HD Engine and ECO/HD Battery Recipes",,,,
classtrainingmechanic5,,Quest Info,KgNone,Mechanic Class Part 5 of 5,,,,
classtrainingmechanic5_subtitle,,Quest Info,KgNone,Mechanic Class 5 of 5,,,,
classtrainingmechanic5_offer,,Quest Info,KgNone,"Mechanic Class\n\nExclusive Recipes/Perks:  ECO Minibike and HD Minibike, ECO/HD Engine and ECO/HD Battery Recipes",,,,
classtrainingmechanic5_description,,Quest Info,KgNone,"Mechanic Class\n\nExclusive Recipes/Perks:  ECO Minibike and HD Minibike, ECO/HD Engine and ECO/HD Battery Recipes",,,,
requirementGroupMachete,,Requirement Group,KgNone,Holding any Machete,,,,
requirementGroupMelee,,Requirement Group,KgNone,Holding any Melee Type Weapon,,,,
quest_WOTWStarter_offer,,Quest Info,KgNone,"War of the Walkers Start",,,,
quest_WOTWStarter,,Quest Info,KgNone,"War of the Walkers Start",,,,
tutorialTipQuest01_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,War of the Walkers Mod,Bases de la survie entamées,Erste Grundlagen für das Überleben,,Supervivencia básica comenzada
tutorialTipQuest02_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,War of the Walkers Mod Cont.,Suivi de quête,Quests verfolgen,,Progreso de misiones
