Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
perkRecipeDoorCraftingRank1Desc,progression,Perk,New,"You can craft iron doors and scrap iron hatches.",,,,,
perkRecipeBirdNestFarmingName,progression,Perk,New,Bird Nest Farming,,,,,
perkRecipeBirdNestFarmingDesc,progression,Perk,New,"Learn how to craft a bird nest.",,,,,
perkRecipeBirdNestFarmingRank1Desc,progression,Perk,New,"You can craft a bird nest.",,,,,
perkRecipeBiggerStorageName,progression,Perk,New,Bigger Storage Recipes,,,,,
perkRecipeBiggerStorageDesc,progression,Perk,New,"Learn how to craft a medium storage chest.",,,,,
perkRecipeBiggerStorageRank1Desc,progression,Perk,New,"You can craft a medium storage chest.",,,,,
perkRecipeFurnishingName,progression,Perk,New,Furnishings,,,,,
perkRecipeFurnishingDesc,progression,Perk,New,"Learn how to craft furniture for your base.",,,,,
perkRecipeFurnishingRank1Desc,progression,Perk,New,"You can craft furniture such as sinks, fridges, bookshelves, etc.",,,,,
perkRecipeScreamerBlockName,progression,Perk,New,Screamer Block Recipe,,,,,
perkRecipeScreamerBlockDesc,progression,Perk,New,"Learn how to craft a screamer block.",,,,,
perkRecipeScreamerBlockRank1Desc,progression,Perk,New,"You can craft a screamer block.",,,,,
perkRecipeRepairKitName,progression,Perk,New,Repair Kit Recipe,,,,,
perkRecipeRepairKitDesc,progression,Perk,New,"Learn how to craft a repair kit.",,,,,
perkRecipeRepairKitRank1Desc,progression,Perk,New,"You can craft a repair kit.",,,,,
perkRecipeArmorClothName,progression,Perk,New,Cloth Armor,,,,,
perkRecipeArmorClothDesc,progression,Perk,New,"Learn how to craft cloth armor.",,,,,
perkRecipeArmorClothRank1Desc,progression,Perk,New,"You can craft cloth armor.",,,,,
perkRecipeArmorLeatherName,progression,Perk,New,Leather Armor,,,,,
perkRecipeArmorLeatherDesc,progression,Perk,New,"Learn how to craft leather armor.",,,,,
perkRecipeArmorLeatherRank1Desc,progression,Perk,New,"You can craft leather armor.",,,,,
perkRecipeArmorScrapIronName,progression,Perk,New,Scrap Iron Armor,,,,,
perkRecipeArmorScrapIronDesc,progression,Perk,New,"Learn how to craft scrap iron armor.",,,,,
perkRecipeArmorScrapIronRank1Desc,progression,Perk,New,"You can craft scrap iron armor.",,,,,
perkRecipeMushroomStewName,progression,Perk,New,Mushroom Stew Recipe,,,,,
perkRecipeMushroomStewDesc,progression,Perk,New,"Learn how to craft mushroom stew.",,,,,
perkRecipeMushroomStewRank1Desc,progression,Perk,New,"You can craft mushroom stew.",,,,,
perkRecipeBreadName,progression,Perk,New,Bread Recipe,,,,,
perkRecipeBreadDesc,progression,Perk,New,"Learn how to craft bread.",,,,,
perkRecipeBreadRank1Desc,progression,Perk,New,"You can craft bread.",,,,,
perkRecipeFishStewName,progression,Perk,New,Fish Stew Recipe,,,,,
perkRecipeFishStewDesc,progression,Perk,New,"Learn how to craft fish stew.",,,,,
perkRecipeFishStewRank1Desc,progression,Perk,New,"You can craft fish stew.",,,,,
perkRecipeMossyBrewName,progression,Perk,New,Mossy Brew Recipe,,,,,
perkRecipeMossyBrewDesc,progression,Perk,New,"Learn how to craft mossy brew.",,,,,
perkRecipeMossyBrewRank1Desc,progression,Perk,New,"You can craft mossy brew.",,,,,
perkRecipeBeerName,progression,Perk,New,Beer Recipe,,,,,
perkRecipeBeerDesc,progression,Perk,New,"Learn how to craft beer.",,,,,
perkRecipeBeerRank1Desc,progression,Perk,New,"You can craft beer.",,,,,
perkRecipeAntibioticsName,progression,Perk,New,Antibiotics Recipe,,,,,
perkRecipeAntibioticsDesc,progression,Perk,New,"Learn how to craft antibiotics.",,,,,
perkRecipeAntibioticsRank1Desc,progression,Perk,New,"You can craft antibiotics.",,,,,
perkAmmo32mmBulletName,progression,Perk,New,32mm Bullet Recipe,,,,,
perkAmmo32mmBulletDesc,progression,Perk,New,"Learn how to craft 32mm bullets.",,,,,
perkAmmo32mmBulletRank1Desc,progression,Perk,New,"You can craft 32mm bullets.",,,,,
perkAmmo44HollowPointMagBulletName,progression,Perk,New,44 Hollow Point Mag Bullet Recipe,,,,,
perkAmmo44HollowPointMagBulletDesc,progression,Perk,New,"Learn how to craft 44 hollow point mag bullets.",,,,,
perkAmmo44HollowPointMagBulletRank1Desc,progression,Perk,New,"You can craft 44 hollow point mag bullets.",,,,,
perkAmmoHollowPointAmmunitionName,progression,Perk,New,Hollow Point Bullet Tip Recipes,,,,,
perkAmmoHollowPointAmmunitionDesc,progression,Perk,New,"Learn how to craft hollow point bullet tips.",,,,,
perkAmmoHollowPointAmmunitionRank1Desc,progression,Perk,New,"You can craft hollow point bullet tips.",,,,,
perkAmmo556mmBulletName,progression,Perk,New,556mm Bullet Recipe,,,,,
perkAmmo556mmBulletDesc,progression,Perk,New,"Learn how to craft 556mm bullets and 556mm NATO bullets.",,,,,
perkAmmo556mmBulletRank1Desc,progression,Perk,New,"You can craft 556mm bullets.",,,,,
perkAmmo556mmBulletRank2Desc,progression,Perk,New,"You can craft 556mm NATO bullets.",,,,,
perkAmmo762mmHollowPointBulletName,progression,Perk,New,762mm Hollow Point Bullet Recipe,,,,,
perkAmmo762mmHollowPointBulletDesc,progression,Perk,New,"Learn how to craft 762mm hollow point bullets.",,,,,
perkAmmo762mmHollowPointBulletRank1Desc,progression,Perk,New,"You can craft 762mm hollow point bullets.",,,,,
perkAmmo9mmHollowPointBulletName,progression,Perk,New,9mm Hollow Point Bullet Recipe,,,,,
perkAmmo9mmHollowPointBulletDesc,progression,Perk,New,"Learn how to craft 9mm hollow point bullets.",,,,,
perkAmmo9mmHollowPointBulletRank1Desc,progression,Perk,New,"You can craft 9mm hollow point bullets.",,,,,
perkAmmoTungstenArrowHeadName,progression,Perk,New,Tungsten Arrow Head Recipe,,,,,
perkAmmoTungstenArrowHeadDesc,progression,Perk,New,"Learn how to craft tungsten arrow heads, tungsten arrows and bolts.",,,,,
perkAmmoTungstenArrowHeadRank1Desc,progression,Perk,New,"You can craft tungsten arrow heads, tungsten arrows and bolts.",,,,,
perkAmmoExplodingTungstenArrowName,progression,Perk,New,Exploding Tungsten Arrow Recipe,,,,,
perkAmmoExplodingTungstenArrowDesc,progression,Perk,New,"Learn how to craft exploding tungsten arrows.",,,,,
perkAmmoExplodingTungstenArrowRank1Desc,progression,Perk,New,"You can craft exploding tungsten arrows.",,,,,
perkAmmoFlamingTungstenCrossbowBoltName,progression,Perk,New,Flaming Tungsten Crossbow Bolt Recipe,,,,,
perkAmmoFlamingTungstenCrossbowBoltDesc,progression,Perk,New,"Learn how to craft flaming tungsten crossbow bolts.",,,,,
perkAmmoFlamingTungstenCrossbowBoltRank1Desc,progression,Perk,New,"You can craft flaming tungsten crossbow bolts.",,,,,
reqBuilderClass,progression,Attribute,New,Builder Class,,,,,
reqSurvivalistClass,progression,Attribute,New,Survivalist Class,,,,,
reqScholarClass,progression,Attribute,New,Scholar Class,,,,,
reqMarksmanClass,progression,Attribute,New,Marksman Class,,,,,
reqFighterClass,progression,Attribute,New,Fighter Class,,,,,
reqTradesmanClass,progression,Attribute,New,Tradesman Class,,,,,
reqProtectionClass,progression,Attribute,New,Protection Class,,,,,
reqElectricianClass,progression,Attribute,New,Electrician Class,,,,,
reqCovertClass,progression,Attribute,New,Covert Class,,,,,
reqCookClass,progression,Attribute,New,Cook Class,,,,,
reqMechanicClass,progression,Attribute,New,Mechanic Class,,,,,
reqPlayer1,progression,Attribute,New,Player Level 1,,,,,
reqPlayer5,progression,Attribute,New,Player Level 5,,,,,
reqPlayer10,progression,Attribute,New,Player Level 10,,,,,
reqPlayer15,progression,Attribute,New,Player Level 15,,,,,
reqPlayer20,progression,Attribute,New,Player Level 20,,,,,
reqPlayer25,progression,Attribute,New,Player Level 25,,,,,
reqPlayer30,progression,Attribute,New,Player Level 30,,,,,
reqPlayer35,progression,Attribute,New,Player Level 35,,,,,
reqPlayer40,progression,Attribute,New,Player Level 40,,,,,
reqPlayer45,progression,Attribute,New,Player Level 45,,,,,
reqPlayer50,progression,Attribute,New,Player Level 50,,,,,
reqPlayer60,progression,Attribute,New,Player Level 60,,,,,
reqPlayer65,progression,Attribute,New,Player Level 65,,,,,
reqPlayer70,progression,Attribute,New,Player Level 70,,,,,
reqPlayer75,progression,Attribute,New,Player Level 75,,,,,
reqPlayer80,progression,Attribute,New,Player Level 80,,,,,
reqPlayer85,progression,Attribute,New,Player Level 85,,,,,
reqPlayer90,progression,Attribute,New,Player Level 90,,,,,
reqPlayer100,progression,Attribute,New,Player Level 100,,,,,
reqPlayer105,progression,Attribute,New,Player Level 105,,,,,
reqPlayer110,progression,Attribute,New,Player Level 110,,,,,
reqPlayer120,progression,Attribute,New,Player Level 120,,,,,
reqPlayer125,progression,Attribute,New,Player Level 125,,,,,
reqPlayer130,progression,Attribute,New,Player Level 130,,,,,
reqPlayer140,progression,Attribute,New,Player Level 140,,,,,
reqPlayer145,progression,Attribute,New,Player Level 145,,,,,
reqPlayer150,progression,Attribute,New,Player Level 150,,,,,
reqPlayer175,progression,Attribute,New,Player Level 175,,,,,
reqPlayer190,progression,Attribute,New,Player Level 190,,,,,
reqPlayer200,progression,Attribute,New,Player Level 200,,,,,
reqPlayer220,progression,Attribute,New,Player Level 220,,,,,
reqPlayer250,progression,Attribute,New,Player Level 250,,,,,
reqPlayer280,progression,Attribute,New,Player Level 280,,,,,
reqAmmo1,progression,Attribute,New,Ammo Crafting 1,,,,,
reqAmmo2,progression,Attribute,New,Ammo Crafting 2,,,,,
reqAmmo3,progression,Attribute,New,Ammo Crafting 3,,,,,
reqAmmo4,progression,Attribute,New,Ammo Crafting 4,,,,,
reqAmmo5,progression,Attribute,New,Ammo Crafting 5,,,,,
craftSkillMeleeBlank1Name,progression,Attribute,New, ,,,,,
craftSkillMeleeBlank1Desc,progression,Attribute,New, ,,,,,
craftSkillMeleeBlank2Name,progression,Attribute,New, ,,,,,
craftSkillMeleeBlank2Desc,progression,Attribute,New, ,,,,,
craftSkillMeleeBlank3Name,progression,Attribute,New, ,,,,,
craftSkillMeleeBlank3Desc,progression,Attribute,New, ,,,,,
craftSkillMeleeBlank4Name,progression,Attribute,New, ,,,,,
craftSkillMeleeBlank4Desc,progression,Attribute,New, ,,,,,
craftSkillMeleeBlank5Name,progression,Attribute,New, ,,,,,
craftSkillMeleeBlank5Desc,progression,Attribute,New, ,,,,,
craftSkillMeleeBlank6Name,progression,Attribute,New, ,,,,,
craftSkillMeleeBlank6Desc,progression,Attribute,New, ,,,,,
craftSkillMeleeBlank7Name,progression,Attribute,New, ,,,,,
craftSkillMeleeBlank7Desc,progression,Attribute,New, ,,,,,
craftSkillMeleeBlank8Name,progression,Attribute,New, ,,,,,
craftSkillMeleeBlank8Desc,progression,Attribute,New, ,,,,,
craftSkillArmorBlank1Name,progression,Attribute,New, ,,,,,
craftSkillArmorBlank1Desc,progression,Attribute,New, ,,,,,
craftSkillArmorBlank2Name,progression,Attribute,New, ,,,,,
craftSkillArmorBlank2Desc,progression,Attribute,New, ,,,,,
craftSkillArmorBlank3Name,progression,Attribute,New, ,,,,,
craftSkillArmorBlank3Desc,progression,Attribute,New, ,,,,,
craftSkillArmorBlank4Name,progression,Attribute,New, ,,,,,
craftSkillArmorBlank4Desc,progression,Attribute,New, ,,,,,
craftSkillArmorBlank5Name,progression,Attribute,New, ,,,,,
craftSkillArmorBlank5Desc,progression,Attribute,New, ,,,,,
craftSkillArmorBlank6Name,progression,Attribute,New, ,,,,,
craftSkillArmorBlank6Desc,progression,Attribute,New, ,,,,,
craftSkillArmorBlank7Name,progression,Attribute,New, ,,,,,
craftSkillArmorBlank7Desc,progression,Attribute,New, ,,,,,
craftSkillToolsBlank1Name,progression,Attribute,New, ,,,,,
craftSkillToolsBlank1Desc,progression,Attribute,New, ,,,,,
craftSkillToolsBlank2Name,progression,Attribute,New, ,,,,,
craftSkillToolsBlank2Desc,progression,Attribute,New, ,,,,,
craftSkillToolsBlank3Name,progression,Attribute,New, ,,,,,
craftSkillToolsBlank3Desc,progression,Attribute,New, ,,,,,
craftSkillToolsBlank4Name,progression,Attribute,New, ,,,,,
craftSkillToolsBlank4Desc,progression,Attribute,New, ,,,,,
craftSkillToolsBlank5Name,progression,Attribute,New, ,,,,,
craftSkillToolsBlank5Desc,progression,Attribute,New, ,,,,,
perkBuilderBlank1Name,progression,Attribute,New, ,,,,,
perkBuilderBlank1Desc,progression,Attribute,New, ,,,,,
perkBuilderBlank2Name,progression,Attribute,New, ,,,,,
perkBuilderBlank2Desc,progression,Attribute,New, ,,,,,
perkBuilderBlank3Name,progression,Attribute,New, ,,,,,
perkBuilderBlank3Desc,progression,Attribute,New, ,,,,,
perkBuilderBlank4Name,progression,Attribute,New, ,,,,,
perkBuilderBlank4Desc,progression,Attribute,New, ,,,,,
perkBuilderBlank5Name,progression,Attribute,New, ,,,,,
perkBuilderBlank5Desc,progression,Attribute,New, ,,,,,
perkSurvivalistBlank1Name,progression,Attribute,New, ,,,,,
perkSurvivalistBlank1Desc,progression,Attribute,New, ,,,,,
perkSurvivalistBlank2Name,progression,Attribute,New, ,,,,,
perkSurvivalistBlank2Desc,progression,Attribute,New, ,,,,,
perkSurvivalistBlank3Name,progression,Attribute,New, ,,,,,
perkSurvivalistBlank3Desc,progression,Attribute,New, ,,,,,
perkSurvivalistBlank4Name,progression,Attribute,New, ,,,,,
perkSurvivalistBlank4Desc,progression,Attribute,New, ,,,,,
perkSurvivalistBlank5Name,progression,Attribute,New, ,,,,,
perkSurvivalistBlank5Desc,progression,Attribute,New, ,,,,,
perkSurvivalistBlank6Name,progression,Attribute,New, ,,,,,
perkSurvivalistBlank6Desc,progression,Attribute,New, ,,,,,
perkScholarBlank1Name,progression,Attribute,New, ,,,,,
perkScholarBlank1Desc,progression,Attribute,New, ,,,,,
perkScholarBlank2Name,progression,Attribute,New, ,,,,,
perkScholarBlank2Desc,progression,Attribute,New, ,,,,,
perkScholarBlank3Name,progression,Attribute,New, ,,,,,
perkScholarBlank3Desc,progression,Attribute,New, ,,,,,
perkScholarBlank4Name,progression,Attribute,New, ,,,,,
perkScholarBlank4Desc,progression,Attribute,New, ,,,,,
perkScholarBlank5Name,progression,Attribute,New, ,,,,,
perkScholarBlank5Desc,progression,Attribute,New, ,,,,,
perkScholarBlank6Name,progression,Attribute,New, ,,,,,
perkScholarBlank6Desc,progression,Attribute,New, ,,,,,
perkMarksmanBlank1Name,progression,Attribute,New, ,,,,,
perkMarksmanBlank1Desc,progression,Attribute,New, ,,,,,
perkMarksmanBlank2Name,progression,Attribute,New, ,,,,,
perkMarksmanBlank2Desc,progression,Attribute,New, ,,,,,
perkMarksmanBlank3Name,progression,Attribute,New, ,,,,,
perkMarksmanBlank3Desc,progression,Attribute,New, ,,,,,
perkFighterBlank1Name,progression,Attribute,New, ,,,,,
perkFighterBlank1Desc,progression,Attribute,New, ,,,,,
perkFighterBlank2Name,progression,Attribute,New, ,,,,,
perkFighterBlank2Desc,progression,Attribute,New, ,,,,,
perkFighterBlank3Name,progression,Attribute,New, ,,,,,
perkFighterBlank3Desc,progression,Attribute,New, ,,,,,
perkFighterBlank4Name,progression,Attribute,New, ,,,,,
perkFighterBlank4Desc,progression,Attribute,New, ,,,,,
perkFighterBlank5Name,progression,Attribute,New, ,,,,,
perkFighterBlank5Desc,progression,Attribute,New, ,,,,,
perkFighterBlank6Name,progression,Attribute,New, ,,,,,
perkFighterBlank6Desc,progression,Attribute,New, ,,,,,
perkTradesmanBlank1Name,progression,Attribute,New, ,,,,,
perkTradesmanBlank1Desc,progression,Attribute,New, ,,,,,
perkTradesmanBlank2Name,progression,Attribute,New, ,,,,,
perkTradesmanBlank2Desc,progression,Attribute,New, ,,,,,
perkTradesmanBlank3Name,progression,Attribute,New, ,,,,,
perkTradesmanBlank3Desc,progression,Attribute,New, ,,,,,
perkProtectionBlank1Name,progression,Attribute,New, ,,,,,
perkProtectionBlank1Desc,progression,Attribute,New, ,,,,,
perkProtectionBlank2Name,progression,Attribute,New, ,,,,,
perkProtectionBlank2Desc,progression,Attribute,New, ,,,,,
perkProtectionBlank3Name,progression,Attribute,New, ,,,,,
perkProtectionBlank3Desc,progression,Attribute,New, ,,,,,
perkProtectionBlank4Name,progression,Attribute,New, ,,,,,
perkProtectionBlank4Desc,progression,Attribute,New, ,,,,,
perkProtectionBlank5Name,progression,Attribute,New, ,,,,,
perkProtectionBlank5Desc,progression,Attribute,New, ,,,,,
perkElectricianBlank1Name,progression,Attribute,New, ,,,,,
perkElectricianBlank1Desc,progression,Attribute,New, ,,,,,
perkElectricianBlank2Name,progression,Attribute,New, ,,,,,
perkElectricianBlank2Desc,progression,Attribute,New, ,,,,,
perkElectricianBlank3Name,progression,Attribute,New, ,,,,,
perkElectricianBlank3Desc,progression,Attribute,New, ,,,,,
perkElectricianBlank4Name,progression,Attribute,New, ,,,,,
perkElectricianBlank4Desc,progression,Attribute,New, ,,,,,
perkElectricianBlank5Name,progression,Attribute,New, ,,,,,
perkElectricianBlank5Desc,progression,Attribute,New, ,,,,,
perkCovertBlank1Name,progression,Attribute,New, ,,,,,
perkCovertBlank1Desc,progression,Attribute,New, ,,,,,
perkCovertBlank2Name,progression,Attribute,New, ,,,,,
perkCovertBlank2Desc,progression,Attribute,New, ,,,,,
perkCovertBlank3Name,progression,Attribute,New, ,,,,,
perkCovertBlank3Desc,progression,Attribute,New, ,,,,,
perkCovertBlank4Name,progression,Attribute,New, ,,,,,
perkCovertBlank4Desc,progression,Attribute,New, ,,,,,
perkCovertBlank5Name,progression,Attribute,New, ,,,,,
perkCovertBlank5Desc,progression,Attribute,New, ,,,,,
perkCovertBlank6Name,progression,Attribute,New, ,,,,,
perkCovertBlank6Desc,progression,Attribute,New, ,,,,,
perkCookBlank1Name,progression,Attribute,New, ,,,,,
perkCookBlank1Desc,progression,Attribute,New, ,,,,,
perkBlank1Name,progression,Attribute,New, ,,,,,
perkBlank1Desc,progression,Attribute,New, ,,,,,
perkBlank2Name,progression,Attribute,New, ,,,,,
perkBlank2Desc,progression,Attribute,New, ,,,,,
perkBlank3Name,progression,Attribute,New, ,,,,,
perkBlank3Desc,progression,Attribute,New, ,,,,,
perkBlank4Name,progression,Attribute,New, ,,,,,
perkBlank4Desc,progression,Attribute,New, ,,,,,
perkMechanicBlank1Name,progression,Attribute,New, ,,,,,
perkMechanicBlank1Desc,progression,Attribute,New, ,,,,,
perkMechanicBlank2Name,progression,Attribute,New, ,,,,,
perkMechanicBlank2Desc,progression,Attribute,New, ,,,,,
recipeWorkstationsBlank1Name,progression,Attribute,New, ,,,,,
recipeWorkstationsBlank1Desc,progression,Attribute,New, ,,,,,
recipeWorkstationsBlank2Name,progression,Attribute,New, ,,,,,
recipeWorkstationsBlank2Desc,progression,Attribute,New, ,,,,,
recipeWeaponsBlank1Name,progression,Attribute,New, ,,,,,
recipeWeaponsBlank1Desc,progression,Attribute,New, ,,,,,
recipeWeaponsBlank2Name,progression,Attribute,New, ,,,,,
recipeWeaponsBlank2Desc,progression,Attribute,New, ,,,,,
recipeArmorBlank1Name,progression,Attribute,New, ,,,,,
recipeArmorBlank1Desc,progression,Attribute,New, ,,,,,
recipeArmorBlank2Name,progression,Attribute,New, ,,,,,
recipeArmorBlank2Desc,progression,Attribute,New, ,,,,,
recipeArmorBlank3Name,progression,Attribute,New, ,,,,,
recipeArmorBlank3Desc,progression,Attribute,New, ,,,,,
recipeArmorBlank4Name,progression,Attribute,New, ,,,,,
recipeArmorBlank4Desc,progression,Attribute,New, ,,,,,
recipeArmorBlank5Name,progression,Attribute,New, ,,,,,
recipeArmorBlank5Desc,progression,Attribute,New, ,,,,,
recipeArmorBlank6Name,progression,Attribute,New, ,,,,,
recipeArmorBlank6Desc,progression,Attribute,New, ,,,,,
recipeBlank1Name,progression,Attribute,New, ,,,,,
recipeBlank1Desc,progression,Attribute,New, ,,,,,
recipeBlank2Name,progression,Attribute,New, ,,,,,
recipeBlank2Desc,progression,Attribute,New, ,,,,,
recipeBlank3Name,progression,Attribute,New, ,,,,,
recipeBlank3Desc,progression,Attribute,New, ,,,,,
recipeFoodMedicineBlank1Name,progression,Attribute,New, ,,,,,
recipeFoodMedicineBlank1Desc,progression,Attribute,New, ,,,,,
recipeFoodMedicineBlank2Name,progression,Attribute,New, ,,,,,
recipeFoodMedicineBlank2Desc,progression,Attribute,New, ,,,,,
craftSkillGunsBlank1Name,progression,Attribute,New, ,,,,,
craftSkillGunsBlank1Desc,progression,Attribute,New, ,,,,,
craftSkillGunsBlank2Name,progression,Attribute,New, ,,,,,
craftSkillGunsBlank2Desc,progression,Attribute,New, ,,,,,
craftSkillGunsBlank3Name,progression,Attribute,New, ,,,,,
craftSkillGunsBlank3Desc,progression,Attribute,New, ,,,,,
craftSkillGunsBlank4Name,progression,Attribute,New, ,,,,,
craftSkillGunsBlank4Desc,progression,Attribute,New, ,,,,,
craftSkillGunsBlank5Name,progression,Attribute,New, ,,,,,
craftSkillGunsBlank5Desc,progression,Attribute,New, ,,,,,
craftSkillAmmoBlank1Name,progression,Attribute,New, ,,,,,
craftSkillAmmoBlank1Desc,progression,Attribute,New, ,,,,,
craftSkillAmmoBlank2Name,progression,Attribute,New, ,,,,,
craftSkillAmmoBlank2Desc,progression,Attribute,New, ,,,,,
craftSkillAmmoBlank3Name,progression,Attribute,New, ,,,,,
craftSkillAmmoBlank3Desc,progression,Attribute,New, ,,,,,
craftSkillAmmoBlank4Name,progression,Attribute,New, ,,,,,
craftSkillAmmoBlank4Desc,progression,Attribute,New, ,,,,,
craftSkillAmmoBlank5Name,progression,Attribute,New, ,,,,,
craftSkillAmmoBlank5Desc,progression,Attribute,New, ,,,,,
craftSkillAmmoBlank6Name,progression,Attribute,New, ,,,,,
craftSkillAmmoBlank6Desc,progression,Attribute,New, ,,,,,
craftSkillAmmoBlank7Name,progression,Attribute,New, ,,,,,
craftSkillAmmoBlank7Desc,progression,Attribute,New, ,,,,,

Apple,items,Food,New,Apple,,,,,
AppleDesc,items,Food,New,"A delicious red apple.  Key ingredient in crafting other food recipes.",,,,,
blackberries,items,Food,New,Blackberries,,,,,
blackberriesDesc,items,Food,New,"Blackberries are great for a quick boost to food and water.  Can be crafted into Blackberry Juice at a campfire",,,,,
cocoaBeans,items,Food,New,Cocoa Beans,,,,,
cocoaBeansDesc,items,Food,New,"Cocoa beans can be used for crafting chocolate recipes.",,,,,
carrot,items,Food,New,Carrot,,,,,
carrotDesc,items,Food,New,"Carrots can be eaten or crafted with other ingredients to make more benificial food recipes.",,,,,
cucumber,items,Food,New,Cucumber,,,,,
cucumberDesc,items,Food,New,"Cucumbers can be eaten or crafted into other food recipes.",,,,,
leek,items,Food,New,Leek,,,,,
leekDesc,items,Food,New,"Leeks can be eaten or crafted into other food recipes.",,,,,
lettuce,items,Food,New,Lettuce,,,,,
lettuceDesc,items,Food,New,"Lettuce can be eaten or crafted into other food recipes.",,,,,
melon,items,Food,New,Melon,,,,,
melonDesc,items,Food,New,"Melons can be eaten or crafted into other food recipes.",,,,,
onion,items,Food,New,Onion,,,,,
onionDesc,items,Food,New,"Onions can be eaten or crafted into other food recipes.",,,,,
pumpkin,items,Food,New,Pumpkin,,,,,
pumpkinDesc,items,Food,New,"Pumpkins can be eaten or crafted into other food recipes.",,,,,
strawberries,items,Food,New,Strawberries,,,,,
strawberriesDesc,items,Food,New,"Strawberries can be eaten or crafted into other food recipes.",,,,,
tomato,items,Food,New,Tomato,,,,,
tomatoDesc,items,Food,New,"Tomatoes can be eaten or crafted into other food recipes.",,,,,
Wheat,items,Food,New,Wheat,,,,,
WheatDesc,items,Food,New,"Wheat can be used to craft flour.",,,,,
ApplePie,items,Food,New,Apple Pie,,,,,
ApplePieDesc,items,Food,New,"Crafted with apples, great source of food and improves your overall health.",,,,,
BaconMushroomSandwich,items,Food,New,Bacon Mushroom Sandwich,,,,,
BaconMushroomSandwichDesc,items,Food,New,"A Sandwich made with Meat plus Mushrooms and Bread.",,,,,
redMeatBoiled,items,Food,New,Boiled Red Meat,,,,,
redMeatBoiledDesc,items,Food,New,"Made with raw red meat, but is not the greatest of meals to craft.  But is better than nothing",,,,,
Bread,items,Food,New,Bread,,,,,
BreadDesc,items,Food,New,"Made from dough, and can be used to make sandwiches.",,,,,
meatWhiteFried,items,Food,New,Fried White Meat,,,,,
meatWhiteFriedDesc,items,Food,New,"Made from raw white meat but is not all that good for you.",,,,,
ChickenPotPie,items,Food,New,Chicken Pot Pie,,,,,
ChickenPotPieDesc,items,Food,New,"A good healthy meal that will warm you up.",,,,,
chocolate,items,Food,New,Chocolate,,,,,
chocolateDesc,items,Food,New,"Chocolate can be eaten alone or crafted into other recipes.",,,,,
CucumberSalad,items,Food,New,Cucumber Salad,,,,,
CucumberSaladDesc,items,Food,New,"A healthy salad that will replenish some food and improve health.",,,,,
GreenTeaExtract,items,Food,New,Green Tea Extract,,,,,
GreenTeaExtractDesc,items,Food,New,"Made to craft Green Tea",,,,,
HamSandwich,items,Food,New,Ham Sandwich,,,,,
HamSandwichDesc,items,Food,New,"Made from canned ham and bread.",,,,,
redMeatPie,items,Food,New,Red Meat Pie,,,,,
redMeatPieDesc,items,Food,New,"Made with raw red meat and other ingredients.  Replenishes a fair amount of hunger and improves your health.",,,,,
MushroomStew,items,Food,New,Mushroom Stew,,,,,
MushroomStewDesc,items,Food,New,"Stew made with mushrooms.  Great source of food and will improve your health.",,,,,
whiteMeatGrilled,items,Food,New,Grilled White Meat,,,,,
whiteMeatGrilledDesc,items,Food,New,"Basic grilled white meat recipe.  Will keep you alive.",,,,,
RabbitonaStick,items,Food,New,Rabbit on a Stick,,,,,
RabbitonaStickDesc,items,Food,New,"Raw white meat cooked on a stick.",,,,,
rawRedMeat,items,Food,New,Raw Red Meat,,,,,
rawRedMeatDesc,items,Food,New,"Raw red meat can be crafted into several healthy meals or cooked by itself for a quick meal.",,,,,
rawWhiteMeat,items,Food,New,Raw White Meat,,,,,
rawWhiteMeatDesc,items,Food,New,"Raw white meat can be crafted into several healthy meals or cooked by itself for a quick meal.",,,,,
whiteMeatPie,items,Food,New,White Meat Pie,,,,,
whiteMeatPieDesc,items,Food,New,"Made with raw white meat and other ingredients.  Replenishes a fair amount of hunger and improves your health.",,,,,
sausageAndEggs,items,Food,New,Sausage and Eggs,,,,,
sausageAndEggsDesc,items,Food,New,"When you don't have any white meat to make bacon, just make sausage instead.",,,,,
strawberryJam,items,Food,New,Strawberry Jam,,,,,
strawberryJamDesc,items,Food,New,"Made from strawberries and can be crafted into a sandwich.",,,,,
strawberryJamSandwich,items,Food,New,Strawberry Jam Sandwich,,,,,
strawberryJamSandwichDesc,items,Food,New,"Made with bread and strawberry jam.  Makes for a nice lunch.",,,,,
summersalad,items,Food,New,Summer Salad,,,,,
summersaladDesc,items,Food,New,"A healthy salad that will replenish some food and improve health.",,,,,
TunaSandwich,items,Food,New,Tuna Sandwich,,,,,
TunaSandwichDesc,items,Food,New,"A healthy sandwich made from canned tuna.",,,,,
redMeatFried,items,Food,New,Fried Red Meat,,,,,
redMeatFriedDesc,items,Food,New,"Basic fried red meat, not that good for you but will let you live if no other sources can be found.",,,,,
redmeatGrilled,items,Food,New,Grilled Red Meat,,,,,
redmeatGrilledDesc,items,Food,New,"Quick and easy to make.  Doesn't replenish all that much hunger or health.",,,,,
redMeatStew,items,Food,New,Red Meat Stew,,,,,
redMeatStewDesc,items,Food,New,"A nice stew made from raw red meat.  Great source for hunger replenishment and health.",,,,,
AppleJuice,items,Food,New,Apple Juice,,,,,
AppleJuiceDesc,items,Food,New,"Juice made from apples.",,,,,
blackberryJuice,items,Food,New,Blackberry Juice,,,,,
blackberryJuiceDesc,items,Food,New,"Juice made from blackberries.",,,,,
